"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Lomb-tera-146","terapia_intensiva","Lombardia","2020-03-14","-675.283","-898.487","-694.886","-917.652","-659.575","-835.713","0.103",0.572
"Lomb-rico-3357","ricoverati_con_sintomi","Lombardia","2020-03-14","-675.283","-898.487","-696.371","-914.007","-860.268","-1075.590","0.159",0.076
"Lomb-rico-566","ricoverati_con_sintomi","Lombardia","2020-03-14","-675.283","-898.487","-697.151","-920.625","-797.879","-1132.746","0.399",0.322
"Lomb-dece-731","deceduti","Lombardia","2020-03-14","-675.283","-898.487","-692.781","-914.589","-782.614","-863.839","0.018",0.871
"Lomb-rico-2381","ricoverati_con_sintomi","Lombardia","2020-03-14","-675.283","-898.487","-699.028","-917.005","-789.892","-1081.884","0.424",0.629
"Lomb-isol-2337","isolamento_domiciliare","Lombardia","2020-03-14","-675.283","-898.487","-690.689","-917.866","-768.101","-713.135","0.774",0.745
"Marc-rico-433","ricoverati_con_sintomi","Marche","2020-03-14","636.090","315.866","681.157","348.058","663.566","378.991","0.388",0.089
"Lomb-isol-1225","isolamento_domiciliare","Lombardia","2020-03-14","-675.283","-898.487","-701.079","-920.329","-725.877","-652.138","0.785",0.928
"Marc-rico-153","ricoverati_con_sintomi","Marche","2020-03-14","636.090","315.866","685.549","348.407","645.670","325.370","0.295",0.016
"Lomb-rico-3785","ricoverati_con_sintomi","Lombardia","2020-03-14","-675.283","-898.487","-700.602","-913.337","-783.525","-1181.476","0.423",0.836
"Piem-rico-410","ricoverati_con_sintomi","Piemonte","2020-03-14","-1499.368","-690.628","-1580.545","-678.478","-1551.829","-663.925","0.372",0.374
"Lomb-dece-458","deceduti","Lombardia","2020-03-14","-675.283","-898.487","-697.739","-910.308","-790.108","-921.537","0.045",0.534
"Sard-rico-10","ricoverati_con_sintomi","Sardegna","2020-03-14","-929.903","2032.474","-939.086","2066.487","-914.040","2051.183","0.454",0.343
"Lomb-dece-210","deceduti","Lombardia","2020-03-14","-675.283","-898.487","-686.466","-919.095","-809.356","-901.069","0.036",0.57
"Lomb-rico-2132","ricoverati_con_sintomi","Lombardia","2020-03-14","-675.283","-898.487","-702.040","-909.556","-802.886","-1117.388","0.516",0.795
"Lomb-tera-450","terapia_intensiva","Lombardia","2020-03-14","-675.283","-898.487","-696.055","-924.579","-690.509","-831.977","0.132",0.604
