"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Marc-rico-2","ricoverati_con_sintomi","Marche","2020-03-05","636.090","315.866","645.254","317.460","612.336","340.785","0.516",0.429
"Lomb-rico-1041","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-682.982","-898.918","-778.828","-842.224","0.169",0.378
"Lomb-rico-177","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-680.589","-902.426","-760.025","-842.725","0.299",0.754
"Emil-isol-108","isolamento_domiciliare","Emilia Romagna","2020-03-05","-224.550","-430.431","-218.200","-413.029","-229.309","-446.603","0.805",0.802
"Marc-rico-40","ricoverati_con_sintomi","Marche","2020-03-05","636.090","315.866","640.391","320.241","614.764","332.279","0.416",0.802
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-03-05","1447.394","1663.990","1453.212","1665.526","1438.607","1677.120","0.195",0.326
"Lomb-rico-230","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-680.994","-895.385","-764.720","-855.965","0.346",0.908
"Vene-isol-102","isolamento_domiciliare","Veneto","2020-03-05","100.320","-940.026","119.249","-947.731","55.734","-978.644","0.677",0.345
"Lomb-rico-347","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-678.682","-898.826","-789.480","-857.080","0.181",0.877
"Lomb-tera-29","terapia_intensiva","Lombardia","2020-03-05","-675.283","-898.487","-687.333","-899.099","-665.968","-854.787","0.107",0.517
"Lomb-rico-856","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-676.286","-902.345","-700.275","-839.046","0.538",0.481
"Marc-rico-12","ricoverati_con_sintomi","Marche","2020-03-05","636.090","315.866","647.536","321.273","609.276","337.613","0.259",0.392
"Lomb-tera-155","terapia_intensiva","Lombardia","2020-03-05","-675.283","-898.487","-684.818","-902.476","-642.169","-855.936","0.120",0.628
"Lomb-rico-422","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-671.879","-902.290","-778.226","-858.075","0.138",0.947
"Lomb-dece-45","deceduti","Lombardia","2020-03-05","-675.283","-898.487","-685.410","-895.509","-630.067","-892.593","0.022",0.008
"Lomb-rico-589","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-682.374","-906.086","-756.713","-851.262","0.334",0.32
"Emil-isol-293","isolamento_domiciliare","Emilia Romagna","2020-03-05","-224.550","-430.431","-214.486","-410.900","-217.542","-445.854","0.716",0.694
"Lomb-dime-53","dimessi_guariti","Lombardia","2020-03-05","-675.283","-898.487","-691.685","-899.298","-620.352","-970.535","0.962",0.052
"Emil-rico-176","ricoverati_con_sintomi","Emilia Romagna","2020-03-05","-224.550","-430.431","-215.281","-415.979","-266.605","-426.691","0.315",0.187
"Marc-tera-15","terapia_intensiva","Marche","2020-03-05","636.090","315.866","643.590","323.315","651.178","324.759","0.064",0.456
"Lomb-isol-103","isolamento_domiciliare","Lombardia","2020-03-05","-675.283","-898.487","-686.661","-906.343","-701.765","-901.938","0.845",0.595
"Vene-isol-100","isolamento_domiciliare","Veneto","2020-03-05","100.320","-940.026","126.881","-948.573","44.023","-981.390","0.806",0.483
"Emil-rico-60","ricoverati_con_sintomi","Emilia Romagna","2020-03-05","-224.550","-430.431","-221.720","-410.977","-247.588","-383.187","0.587",0.051
"Lomb-rico-710","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-680.036","-909.995","-730.131","-850.349","0.393",0.004
"Lomb-tera-81","terapia_intensiva","Lombardia","2020-03-05","-675.283","-898.487","-676.581","-895.113","-651.716","-831.837","0.113",0.361
"Lomb-rico-804","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-689.216","-902.869","-722.937","-838.686","0.159",0.617
"Lomb-rico-53","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-673.861","-905.991","-754.043","-813.460","0.517",0.397
"Lomb-tera-241","terapia_intensiva","Lombardia","2020-03-05","-675.283","-898.487","-683.217","-891.847","-632.883","-835.265","0.063",0.118
"Lomb-isol-280","isolamento_domiciliare","Lombardia","2020-03-05","-675.283","-898.487","-684.211","-909.870","-690.220","-906.518","0.709",0.575
"Lomb-rico-120","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-674.197","-898.669","-791.345","-847.257","0.571",0.855
"Vene-dece-9","deceduti","Veneto","2020-03-05","100.320","-940.026","115.680","-945.133","120.234","-945.434","0.019",0.943
"Lomb-isol-241","isolamento_domiciliare","Lombardia","2020-03-05","-675.283","-898.487","-678.151","-906.183","-705.263","-967.911","0.791",0.614
"Lomb-rico-476","ricoverati_con_sintomi","Lombardia","2020-03-05","-675.283","-898.487","-678.850","-891.582","-751.185","-827.892","0.459",0.719
"Lomb-dime-67","dimessi_guariti","Lombardia","2020-03-05","-675.283","-898.487","-688.635","-910.104","-634.883","-955.524","0.893",0.067
"Camp-isol-26","isolamento_domiciliare","Campania","2020-03-05","1447.394","1663.990","1457.632","1665.992","1439.605","1660.584","0.844",0.424
"Lomb-isol-161","isolamento_domiciliare","Lombardia","2020-03-05","-675.283","-898.487","-687.638","-891.705","-703.478","-917.857","0.641",0.713
"Marc-rico-31","ricoverati_con_sintomi","Marche","2020-03-05","636.090","315.866","635.285","318.572","618.453","347.216","0.311",0.106
