"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Lomb-isol-3246","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-705.709","-918.044","-676.132","-1020.901","0.774",0.601
"Lomb-dece-545","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-704.722","-914.136","-515.117","-813.021","0.039",0.758
"Lomb-dime-1784","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-703.093","-920.447","-647.893","-697.409","0.917",0.853
"Tosc-tera-52","terapia_intensiva","Toscana","2020-03-15","-184.562","300.178","-170.887","379.209","-136.040","451.797","0.100",0.727
"Lomb-rico-2044","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-708.355","-915.601","-949.843","-1014.140","0.205",0.584
"Lomb-isol-3710","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-699.022","-919.373","-678.843","-1073.156","0.794",0.836
"Lomb-isol-1752","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-707.682","-911.546","-694.849","-1020.485","0.697",0.331
"Lomb-isol-3599","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-706.586","-922.028","-642.191","-1043.901","0.623",0.384
"Lomb-dece-201","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-701.896","-916.537","-549.385","-813.992","0.010",0.359
"Marc-rico-129","ricoverati_con_sintomi","Marche","2020-03-15","636.090","315.866","679.197","351.032","750.526","384.791","0.194",0.729
"Tosc-isol-386","isolamento_domiciliare","Toscana","2020-03-15","-184.562","300.178","-172.284","371.582","-184.450","434.760","0.811",0.981
"Lomb-dime-783","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-703.995","-909.899","-647.202","-728.116","0.998",0.401
"Lomb-isol-21","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-709.494","-919.439","-692.619","-973.149","0.541",0.605
"Marc-rico-476","ricoverati_con_sintomi","Marche","2020-03-15","636.090","315.866","683.086","353.022","709.065","335.633","0.268",0.091
"Vene-isol-1023","isolamento_domiciliare","Veneto","2020-03-15","100.320","-940.026","185.338","-964.701","190.244","-876.229","0.754",0.272
"Vene-isol-888","isolamento_domiciliare","Veneto","2020-03-15","100.320","-940.026","183.487","-968.409","197.824","-878.595","0.665",0.767
"Lomb-isol-225","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-700.856","-912.366","-684.103","-1082.450","0.593",0.954
"Lomb-isol-2156","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-711.517","-912.773","-754.025","-1051.492","0.695",0.831
"Lomb-isol-1492","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-700.143","-923.327","-703.583","-1033.715","0.841",0.458
"Vall-isol-38","isolamento_domiciliare","Valle d'Aosta","2020-03-15","-1732.338","-934.835","-1820.456","-954.645","-1838.509","-948.858","0.630",0.093
"Lomb-dime-1119","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-710.761","-923.450","-620.544","-676.561","0.990",0.438
"Lomb-isol-1259","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-697.816","-915.085","-653.176","-1039.810","0.534",0.694
"Lomb-rico-3909","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-714.942","-910.152","-939.618","-942.443","0.384",0.515
"Lomb-isol-3758","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-703.810","-924.773","-689.146","-931.297","0.625",0.434
"Emil-rico-738","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-176.039","-366.428","-184.617","-305.752","0.187",0.453
"Lomb-dece-47","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-712.570","-916.750","-536.638","-817.750","0.029",0.317
"Lomb-rico-5005","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-696.370","-922.153","-923.619","-957.626","0.319",0.097
"Marc-tera-59","terapia_intensiva","Marche","2020-03-15","636.090","315.866","679.491","355.450","686.415","428.248","0.101",0.149
"Piem-rico-520","ricoverati_con_sintomi","Piemonte","2020-03-15","-1499.368","-690.628","-1595.851","-684.824","-1549.812","-612.077","0.320",0.287
"Lomb-dece-961","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-692.135","-909.927","-533.709","-779.804","0.034",0.873
"Lomb-isol-1410","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-715.715","-913.984","-739.038","-1058.693","0.550",0.183
"Lomb-rico-5359","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-697.071","-926.273","-977.427","-977.904","0.406",0.601
"Lomb-rico-5352","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-706.864","-907.286","-963.156","-947.093","0.510",0.156
"Emil-isol-1235","isolamento_domiciliare","Emilia Romagna","2020-03-15","-224.550","-430.431","-176.253","-370.439","-172.319","-507.420","0.700",0.487
"Lomb-dime-1687","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-694.987","-918.018","-687.192","-766.433","0.939",0.208
"Lomb-rico-3610","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-710.960","-908.807","-915.547","-983.855","0.340",0.226
"Vene-isol-5","isolamento_domiciliare","Veneto","2020-03-15","100.320","-940.026","185.884","-971.905","176.793","-872.637","0.543",0.289
"Lomb-rico-1388","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-696.476","-911.081","-999.506","-1040.732","0.435",0.386
"Lomb-rico-4946","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-716.837","-918.057","-849.757","-935.476","0.468",0.781
"Lomb-dime-685","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-693.387","-925.255","-647.127","-733.486","0.921",0.834
"Marc-rico-140","ricoverati_con_sintomi","Marche","2020-03-15","636.090","315.866","683.334","357.313","719.970","366.928","0.518",0.402
"Lomb-dime-524","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-707.954","-926.136","-598.194","-701.338","0.978",0.078
"Emil-rico-110","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-172.159","-364.513","-201.331","-341.547","0.235",0.482
"Vene-isol-1001","isolamento_domiciliare","Veneto","2020-03-15","100.320","-940.026","179.017","-969.089","185.246","-864.510","0.697",0.63
"Lomb-rico-2184","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-697.630","-930.569","-940.932","-1066.601","0.251",0.21
"Lomb-dime-1012","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-702.994","-905.597","-559.572","-682.499","0.913",0.293
"Lomb-isol-1685","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-713.737","-920.892","-584.198","-1022.526","0.621",0.478
"Lomb-rico-4972","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-692.296","-921.045","-886.066","-960.625","0.452",0.976
"Emil-isol-426","isolamento_domiciliare","Emilia Romagna","2020-03-15","-224.550","-430.431","-175.918","-362.566","-138.460","-462.052","0.905",0.978
"Lomb-rico-1462","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-704.952","-928.988","-989.031","-894.626","0.160",0.508
"Piem-tera-51","terapia_intensiva","Piemonte","2020-03-15","-1499.368","-690.628","-1588.414","-677.182","-1635.364","-694.216","0.127",0.687
"Lomb-dece-243","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-719.861","-915.552","-574.189","-836.028","0.005",0.591
"Camp-dime-1","dimessi_guariti","Campania","2020-03-15","1447.394","1663.990","1471.054","1694.207","1439.926","1668.472","0.967",0.689
"Tren-rico-122","ricoverati_con_sintomi","Trentino-Alto Adige","2020-03-15","-91.669","-1277.115","-32.966","-1368.163","7.318","-1348.230","0.374",0.214
"Tren-rico-49","ricoverati_con_sintomi","Trentino-Alto Adige","2020-03-15","-91.669","-1277.115","-32.332","-1372.523","4.425","-1375.259","0.193",0.771
"Lomb-dece-254","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-690.721","-916.837","-553.269","-854.605","0.037",0.718
"Emil-rico-693","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-179.609","-359.888","-157.802","-309.714","0.397",0.296
"Lomb-isol-1418","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-700.783","-927.765","-679.287","-1013.099","0.577",0.554
"Lomb-rico-1070","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-699.916","-908.407","-959.203","-994.672","0.348",0.697
"Emil-dece-257","deceduti","Emilia Romagna","2020-03-15","-224.550","-430.431","-179.705","-368.429","-263.374","-323.451","0.067",0.756
"Lomb-isol-2438","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-690.037","-928.087","-693.760","-994.267","0.855",0.332
"Vene-rico-224","ricoverati_con_sintomi","Veneto","2020-03-15","100.320","-940.026","180.824","-965.404","220.152","-1011.554","0.227",0.397
"Tosc-rico-113","ricoverati_con_sintomi","Toscana","2020-03-15","-184.562","300.178","-177.677","377.117","-126.075","354.214","0.167",0.83
"Marc-isol-445","isolamento_domiciliare","Marche","2020-03-15","636.090","315.866","687.076","355.247","585.182","410.431","0.902",0.825
"Lomb-rico-2636","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-719.040","-911.484","-944.419","-900.966","0.145",0.69
"Vene-isol-49","isolamento_domiciliare","Veneto","2020-03-15","100.320","-940.026","187.691","-968.162","189.148","-888.814","0.623",0.771
"Ligu-rico-235","ricoverati_con_sintomi","Liguria","2020-03-15","-1136.010","-274.121","-1208.116","-200.711","-1235.546","-180.077","0.285",0.613
"Lomb-isol-1174","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-714.797","-925.077","-609.912","-1001.465","0.585",0.717
"Tosc-rico-83","ricoverati_con_sintomi","Toscana","2020-03-15","-184.562","300.178","-169.137","374.899","-113.279","351.477","0.518",0.58
"Lomb-rico-1339","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-714.143","-906.080","-923.071","-970.784","0.164",0.394
"Lomb-isol-2659","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-701.543","-931.779","-726.930","-981.599","0.888",0.866
"Lomb-rico-1137","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-696.086","-906.897","-922.974","-1057.016","0.185",0.34
"Emil-dime-53","dimessi_guariti","Emilia Romagna","2020-03-15","-224.550","-430.431","-179.617","-364.094","-301.282","-306.652","0.979",0.425
"Emil-rico-99","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-172.500","-368.535","-152.073","-286.769","0.286",0.526
"Piem-rico-652","ricoverati_con_sintomi","Piemonte","2020-03-15","-1499.368","-690.628","-1592.798","-676.523","-1494.974","-633.215","0.346",0.487
"Emil-rico-446","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-180.197","-372.476","-212.088","-307.057","0.275",0.929
"Lomb-dece-228","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-693.511","-913.814","-516.982","-848.723","0.002",0.378
"Lomb-isol-1815","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-718.228","-907.436","-680.845","-975.584","0.742",0.069
"Lomb-dime-1870","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-698.542","-934.765","-632.688","-697.972","0.928",0.214
"Emil-dece-231","deceduti","Emilia Romagna","2020-03-15","-224.550","-430.431","-172.302","-360.503","-274.309","-357.089","0.045",0.524
"Lomb-rico-2719","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-717.760","-922.371","-949.914","-875.792","0.205",0.145
"Lomb-rico-3167","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-689.378","-924.040","-884.171","-963.762","0.413",0.123
"Lomb-isol-144","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-710.194","-904.617","-664.173","-1003.849","0.768",0.724
"Sici-isol-41","isolamento_domiciliare","Sicilia","2020-03-15","1204.140","3325.597","1214.464","3355.110","1229.823","3357.464","0.732",0.603
"Emil-rico-481","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-168.101","-362.594","-219.595","-333.984","0.190",0.712
"Lomb-dece-533","deceduti","Lombardia","2020-03-15","-675.283","-898.487","-723.015","-912.576","-534.942","-775.920","0.052",0.951
"Lomb-isol-2281","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-693.914","-929.374","-653.461","-1104.665","0.876",0.222
"Ligu-rico-246","ricoverati_con_sintomi","Liguria","2020-03-15","-1136.010","-274.121","-1209.336","-196.447","-1253.022","-140.148","0.432",0.138
"Lomb-isol-2130","isolamento_domiciliare","Lombardia","2020-03-15","-675.283","-898.487","-711.856","-927.736","-712.687","-1060.282","0.708",0.682
"Lomb-rico-1211","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-688.221","-919.893","-917.656","-1015.961","0.249",0.012
"Piem-tera-89","terapia_intensiva","Piemonte","2020-03-15","-1499.368","-690.628","-1594.321","-680.679","-1635.982","-714.903","0.126",0.057
"Emil-rico-274","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-176.697","-374.731","-194.268","-377.439","0.366",0.392
"Tren-rico-30","ricoverati_con_sintomi","Trentino-Alto Adige","2020-03-15","-91.669","-1277.115","-28.753","-1369.916","-11.896","-1354.210","0.234",0.143
"Emil-tera-52","terapia_intensiva","Emilia Romagna","2020-03-15","-224.550","-430.431","-183.353","-366.208","-97.568","-378.669","0.130",0.571
"Emil-isol-137","isolamento_domiciliare","Emilia Romagna","2020-03-15","-224.550","-430.431","-168.904","-370.996","-162.812","-525.769","0.818",0.048
"Lomb-rico-5229","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-706.136","-902.999","-922.364","-979.411","0.435",0.051
"Lomb-rico-1532","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-708.589","-930.550","-948.872","-999.568","0.268",0.138
"Lomb-rico-1117","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-688.192","-911.839","-913.337","-939.986","0.435",0.216
"Lomb-rico-5149","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-722.386","-908.518","-927.619","-950.618","0.346",0.843
"Emil-rico-1115","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-172.816","-372.812","-146.381","-326.860","0.364",0.981
"Piem-rico-151","ricoverati_con_sintomi","Piemonte","2020-03-15","-1499.368","-690.628","-1587.056","-672.971","-1537.559","-657.834","0.308",0.327
"Lomb-dime-203","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-718.857","-926.472","-579.307","-699.114","0.907",0.584
"Lomb-rico-4009","ricoverati_con_sintomi","Lombardia","2020-03-15","-675.283","-898.487","-685.195","-922.957","-921.536","-987.276","0.363",0.599
"Tosc-tera-18","terapia_intensiva","Toscana","2020-03-15","-184.562","300.178","-173.456","375.805","-126.867","427.007","0.097",0.839
"Tosc-isol-193","isolamento_domiciliare","Toscana","2020-03-15","-184.562","300.178","-176.681","372.822","-198.660","366.036","0.855",0.666
"Ligu-isol-129","isolamento_domiciliare","Liguria","2020-03-15","-1136.010","-274.121","-1203.832","-201.889","-1170.030","-188.351","0.749",0.568
"Friu-isol-171","isolamento_domiciliare","Friuli Venezia Giulia","2020-03-15","609.416","-1132.000","689.764","-1165.354","699.343","-1092.898","0.695",0.411
"Abru-rico-54","ricoverati_con_sintomi","Abruzzo","2020-03-15","1010.380","897.139","1054.353","929.636","1042.142","925.227","0.356",0.283
"Emil-rico-344","ricoverati_con_sintomi","Emilia Romagna","2020-03-15","-224.550","-430.431","-175.885","-358.357","-151.396","-341.649","0.269",0.14
"Lomb-dime-661","dimessi_guariti","Lombardia","2020-03-15","-675.283","-898.487","-712.420","-932.127","-602.818","-747.458","0.943",0.903
