"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Lomb-isol-11","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-678.694","-898.025","-732.851","-942.158","0.846",0.449
"Lomb-tera-52","terapia_intensiva","Lombardia","2020-02-29","-675.283","-898.487","-682.989","-897.631","-675.040","-869.714","0.026",0.084
"Lomb-rico-215","ricoverati_con_sintomi","Lombardia","2020-02-29","-675.283","-898.487","-681.052","-901.723","-703.947","-851.075","0.195",0.956
"Vene-isol-59","isolamento_domiciliare","Veneto","2020-02-29","100.320","-940.026","108.598","-940.887","64.122","-981.683","0.488",0.623
"Lomb-isol-81","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-685.382","-901.405","-692.724","-929.938","0.674",0.53
"Lomb-isol-44","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-674.435","-898.361","-734.101","-912.279","0.534",0.713
"Lomb-dece-13","deceduti","Lombardia","2020-02-29","-675.283","-898.487","-677.986","-890.374","-651.315","-905.195","0.020",0.943
"Ligu-isol-25","isolamento_domiciliare","Liguria","2020-02-29","-1136.010","-274.121","-1137.224","-267.763","-1139.918","-283.812","0.938",0.335
"Camp-isol-5","isolamento_domiciliare","Campania","2020-02-29","1447.394","1663.990","1436.641","1661.424","1441.905","1654.986","0.809",0.175
"Lomb-isol-186","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-687.335","-897.052","-689.363","-925.760","0.531",0.586
"Lomb-isol-180","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-676.740","-902.040","-708.300","-922.641","0.915",0.538
"Lomb-isol-175","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-680.495","-894.007","-717.776","-939.759","0.789",0.719
"Lomb-isol-4","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-687.864","-905.110","-711.025","-911.453","0.869",0.861
"Lomb-rico-209","ricoverati_con_sintomi","Lombardia","2020-02-29","-675.283","-898.487","-671.658","-894.826","-686.331","-883.390","0.404",0.081
"Emil-tera-2","terapia_intensiva","Emilia Romagna","2020-02-29","-224.550","-430.431","-219.275","-426.008","-210.085","-425.512","0.086",0.396
"Lomb-isol-112","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-679.143","-905.742","-691.556","-936.506","0.769",0.829
"Lomb-tera-8","terapia_intensiva","Lombardia","2020-02-29","-675.283","-898.487","-676.129","-894.415","-671.705","-874.501","0.055",0.929
"Lomb-isol-163","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-689.690","-900.540","-696.980","-930.813","0.741",0.114
"Emil-isol-101","isolamento_domiciliare","Emilia Romagna","2020-02-29","-224.550","-430.431","-215.613","-428.490","-269.426","-447.231","0.638",0.27
"Lomb-rico-52","ricoverati_con_sintomi","Lombardia","2020-02-29","-675.283","-898.487","-675.477","-886.818","-692.688","-877.756","0.337",0.987
"Lomb-dime-10","dimessi_guariti","Lombardia","2020-02-29","-675.283","-898.487","-683.520","-905.394","-664.115","-931.739","0.973",0.768
"Lomb-rico-121","ricoverati_con_sintomi","Lombardia","2020-02-29","-675.283","-898.487","-663.777","-893.534","-718.548","-858.208","0.417",0.091
"Lomb-dime-24","dimessi_guariti","Lombardia","2020-02-29","-675.283","-898.487","-684.884","-893.538","-663.350","-918.394","0.970",0.216
"Lomb-rico-188","ricoverati_con_sintomi","Lombardia","2020-02-29","-675.283","-898.487","-674.839","-906.069","-704.845","-871.034","0.345",0.884
"Vene-isol-21","isolamento_domiciliare","Veneto","2020-02-29","100.320","-940.026","110.001","-933.732","67.230","-955.275","0.624",0.549
"Lomb-isol-19","isolamento_domiciliare","Lombardia","2020-02-29","-675.283","-898.487","-692.081","-904.032","-693.914","-919.171","0.483",0.248
