"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Lomb-dime-977","dimessi_guariti","Lombardia","2020-03-12","-675.283","-898.487","-692.434","-915.447","-655.505","-987.108","0.970",0.653
"Lomb-rico-2295","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-691.567","-911.564","-828.412","-762.976","0.511",0.932
"Emil-isol-417","isolamento_domiciliare","Emilia Romagna","2020-03-12","-224.550","-430.431","-197.184","-385.979","-304.853","-466.033","0.819",0.324
"Emil-dece-114","deceduti","Emilia Romagna","2020-03-12","-224.550","-430.431","-198.233","-381.738","-190.941","-453.081","0.059",0.135
"Lomb-isol-392","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-694.785","-912.565","-823.970","-983.864","0.784",0.049
"Emil-dece-73","deceduti","Emilia Romagna","2020-03-12","-224.550","-430.431","-195.437","-378.335","-179.324","-423.053","0.058",0.18
"Pugl-isol-0","isolamento_domiciliare","Puglia","2020-03-12","2164.406","1527.252","2151.901","1518.167","2151.901","1518.167","0.907",0.896
"Lomb-rico-1656","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-695.770","-922.795","-813.065","-828.397","0.319",0.789
"Lomb-isol-1550","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-688.460","-914.151","-695.092","-955.482","0.634",0.117
"Lomb-isol-1758","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-696.104","-909.021","-759.374","-995.025","0.807",0.415
"Lomb-isol-1193","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-691.558","-922.223","-775.455","-973.313","0.749",0.022
"Sard-isol-22","isolamento_domiciliare","Sardegna","2020-03-12","-929.903","2032.474","-938.089","2055.256","-930.542","2030.820","0.600",0.806
"Lomb-rico-1636","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-693.824","-919.042","-754.979","-782.788","0.543",0.788
"Lomb-rico-2449","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-689.926","-918.191","-790.221","-792.861","0.448",0.087
"Emil-rico-28","ricoverati_con_sintomi","Emilia Romagna","2020-03-12","-224.550","-430.431","-199.749","-377.576","-263.249","-404.955","0.522",0.24
"Marc-rico-180","ricoverati_con_sintomi","Marche","2020-03-12","636.090","315.866","670.352","337.227","617.945","370.019","0.253",0.628
"Lomb-rico-4039","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-684.629","-911.475","-783.951","-840.371","0.167",0.106
"Emil-isol-200","isolamento_domiciliare","Emilia Romagna","2020-03-12","-224.550","-430.431","-201.143","-384.924","-253.503","-449.732","0.712",0.228
"Vene-rico-137","ricoverati_con_sintomi","Veneto","2020-03-12","100.320","-940.026","164.973","-961.188","57.729","-906.065","0.413",0.235
"Lomb-rico-60","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-691.972","-907.334","-750.555","-792.712","0.400",0.96
"Lomb-rico-768","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-698.296","-919.929","-839.746","-899.355","0.340",0.056
"Vene-rico-225","ricoverati_con_sintomi","Veneto","2020-03-12","100.320","-940.026","166.844","-957.221","51.348","-922.259","0.168",0.197
"Lomb-rico-3841","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-699.311","-906.029","-824.178","-783.743","0.495",0.262
"Piem-rico-244","ricoverati_con_sintomi","Piemonte","2020-03-12","-1499.368","-690.628","-1563.650","-682.070","-1523.044","-626.471","0.440",0.86
"Emil-rico-548","ricoverati_con_sintomi","Emilia Romagna","2020-03-12","-224.550","-430.431","-196.951","-374.142","-228.520","-397.903","0.150",0.6
"Lomb-isol-1522","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-696.684","-915.862","-835.562","-947.606","0.831",0.934
"Lomb-rico-2756","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-685.634","-918.402","-792.249","-815.093","0.341",0.394
"Piem-isol-31","isolamento_domiciliare","Piemonte","2020-03-12","-1499.368","-690.628","-1559.731","-679.996","-1528.030","-712.934","0.823",0.229
"Lomb-isol-996","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-693.271","-925.717","-821.117","-922.054","0.702",0.832
"Lomb-dece-298","deceduti","Lombardia","2020-03-12","-675.283","-898.487","-676.959","-911.562","-563.546","-879.763","0.012",0.48
"Marc-isol-230","isolamento_domiciliare","Marche","2020-03-12","636.090","315.866","669.885","341.639","613.177","307.359","0.709",0.05
"Lomb-dime-693","dimessi_guariti","Lombardia","2020-03-12","-675.283","-898.487","-689.265","-925.564","-607.327","-994.589","0.991",0.032
"Lomb-dime-4","dimessi_guariti","Lombardia","2020-03-12","-675.283","-898.487","-688.345","-909.673","-643.458","-924.934","0.936",0.31
"Marc-isol-89","isolamento_domiciliare","Marche","2020-03-12","636.090","315.866","666.275","338.906","634.982","308.579","0.659",0.11
"Lomb-isol-24","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-684.266","-914.760","-791.406","-942.780","0.864",0.833
"Emil-isol-204","isolamento_domiciliare","Emilia Romagna","2020-03-12","-224.550","-430.431","-202.504","-380.947","-252.116","-493.532","0.735",0.603
"Vene-isol-769","isolamento_domiciliare","Veneto","2020-03-12","100.320","-940.026","161.866","-964.426","11.468","-999.976","0.598",0.656
"Lomb-rico-2794","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-684.634","-907.659","-776.208","-892.089","0.534",0.314
"Emil-isol-564","isolamento_domiciliare","Emilia Romagna","2020-03-12","-224.550","-430.431","-205.390","-384.143","-302.745","-447.911","0.823",0.73
"Lomb-rico-3864","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-687.353","-921.710","-806.578","-850.823","0.515",0.008
"Lomb-rico-2886","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-695.284","-904.894","-767.754","-818.874","0.306",0.129
"Lomb-isol-241","isolamento_domiciliare","Lombardia","2020-03-12","-675.283","-898.487","-697.158","-926.508","-757.813","-930.959","0.831",0.007
"Camp-isol-63","isolamento_domiciliare","Campania","2020-03-12","1447.394","1663.990","1465.576","1686.114","1443.654","1647.882","0.614",0.88
"Pugl-rico-17","ricoverati_con_sintomi","Puglia","2020-03-12","2164.406","1527.252","2183.273","1547.285","2160.230","1548.419","0.152",0.253
"Lomb-rico-31","ricoverati_con_sintomi","Lombardia","2020-03-12","-675.283","-898.487","-684.932","-925.072","-780.104","-840.951","0.474",0.885
"Emil-dece-102","deceduti","Emilia Romagna","2020-03-12","-224.550","-430.431","-199.997","-369.656","-186.799","-454.616","0.036",0.48
"Vene-isol-70","isolamento_domiciliare","Veneto","2020-03-12","100.320","-940.026","160.665","-960.350","39.129","-958.293","0.641",0.082
"Emil-rico-411","ricoverati_con_sintomi","Emilia Romagna","2020-03-12","-224.550","-430.431","-194.173","-383.063","-318.842","-370.070","0.197",0.677
"Vene-isol-56","isolamento_domiciliare","Veneto","2020-03-12","100.320","-940.026","162.567","-956.156","34.470","-964.785","0.865",0.817
