"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Lomb-dime-422","dimessi_guariti","Lombardia","2020-03-07","-675.283","-898.487","-627.978","-893.811","-706.542","-1014.952","0.900",0.494
"Lomb-rico-1654","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-728.206","-874.994","-715.960","-876.278","0.158",0.036
"Lomb-dime-249","dimessi_guariti","Lombardia","2020-03-07","-675.283","-898.487","-661.102","-960.330","-660.128","-989.648","0.929",0.605
"Lomb-rico-1109","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-658.399","-849.463","-640.774","-879.038","0.390",0.019
"Lomb-rico-1243","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-736.793","-926.138","-699.554","-828.983","0.381",0.142
"Vene-rico-23","ricoverati_con_sintomi","Veneto","2020-03-07","100.320","-940.026","150.356","-956.208","90.906","-953.859","0.382",0.161
"Lomb-isol-256","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-711.545","-854.968","-617.569","-983.292","0.878",0.786
"Lomb-rico-1419","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-696.902","-960.686","-678.107","-802.723","0.254",0.599
"Lomb-rico-627","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-633.280","-873.232","-704.503","-850.858","0.392",0.346
"Lomb-rico-1203","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-737.275","-891.950","-723.292","-909.181","0.368",0.682
"Lomb-dece-126","deceduti","Lombardia","2020-03-07","-675.283","-898.487","-647.453","-954.429","-782.421","-1011.295","0.038",0.167
"Lomb-rico-1252","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-680.684","-846.556","-755.718","-864.693","0.287",0.842
"Lomb-dime-421","dimessi_guariti","Lombardia","2020-03-07","-675.283","-898.487","-721.670","-944.162","-687.359","-973.423","0.962",0.758
"Lomb-rico-992","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-621.676","-904.837","-706.438","-826.256","0.504",0.66
"Lomb-rico-1022","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-725.037","-862.498","-699.116","-891.595","0.265",0.616
"Lomb-rico-1398","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-676.204","-962.159","-743.267","-887.907","0.418",0.79
"Lomb-isol-55","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-647.266","-856.668","-572.343","-925.006","0.601",0.313
"Emil-isol-43","isolamento_domiciliare","Emilia Romagna","2020-03-07","-224.550","-430.431","-243.340","-416.690","-241.069","-451.415","0.798",0.963
"Lomb-rico-1257","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-629.071","-939.155","-661.558","-838.899","0.560",0.655
"Lomb-isol-542","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-699.570","-850.343","-605.447","-928.495","0.668",0.823
"Lazi-rico-19","ricoverati_con_sintomi","Lazio","2020-03-07","555.941","1059.757","557.319","1061.395","583.700","1070.293","0.281",0.239
"Lomb-isol-543","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-629.597","-885.648","-558.209","-961.858","0.663",0.211
"Lazi-rico-9","ricoverati_con_sintomi","Lazio","2020-03-07","555.941","1059.757","552.933","1072.303","589.639","1076.908","0.340",0.966
"Lomb-isol-272","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-656.862","-960.957","-593.315","-914.424","0.622",0.162
"Lomb-rico-1598","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-666.000","-848.811","-678.222","-825.868","0.455",0.036
"Marc-rico-54","ricoverati_con_sintomi","Marche","2020-03-07","636.090","315.866","642.889","319.610","634.535","264.532","0.460",0.882
"Lomb-rico-230","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-624.057","-920.574","-734.375","-806.663","0.460",0.644
"Vene-isol-79","isolamento_domiciliare","Veneto","2020-03-07","100.320","-940.026","110.985","-924.186","147.716","-926.266","0.623",0.121
"Lomb-tera-5","terapia_intensiva","Lombardia","2020-03-07","-675.283","-898.487","-690.937","-964.559","-800.918","-894.334","0.127",0.699
"Tosc-rico-17","ricoverati_con_sintomi","Toscana","2020-03-07","-184.562","300.178","-171.398","325.697","-191.471","337.779","0.488",0.86
"Lomb-dece-57","deceduti","Lombardia","2020-03-07","-675.283","-898.487","-740.451","-902.906","-785.731","-960.369","0.032",0.705
"Lomb-rico-1126","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-639.456","-944.079","-666.164","-904.437","0.562",0.64
"Emil-rico-225","ricoverati_con_sintomi","Emilia Romagna","2020-03-07","-224.550","-430.431","-213.986","-380.384","-138.276","-375.969","0.203",0.602
"Emil-isol-354","isolamento_domiciliare","Emilia Romagna","2020-03-07","-224.550","-430.431","-231.561","-438.618","-204.258","-413.848","0.816",0.3
"Lomb-rico-736","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-626.600","-898.303","-667.495","-900.604","0.441",0.92
"Vene-rico-89","ricoverati_con_sintomi","Veneto","2020-03-07","100.320","-940.026","102.260","-934.649","105.798","-994.314","0.562",0.463
"Piem-isol-27","isolamento_domiciliare","Piemonte","2020-03-07","-1499.368","-690.628","-1526.954","-704.228","-1502.201","-747.576","0.710",0.514
"Vene-isol-240","isolamento_domiciliare","Veneto","2020-03-07","100.320","-940.026","135.144","-928.529","161.411","-875.251","0.824",0.629
"Lomb-rico-1330","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-735.913","-921.992","-766.482","-854.307","0.531",0.42
"Lomb-rico-1029","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-626.268","-932.253","-628.459","-845.328","0.174",0.851
"Lomb-isol-526","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-706.799","-849.404","-608.777","-942.759","0.744",0.46
"Lomb-rico-200","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-701.116","-960.458","-700.867","-901.654","0.359",0.453
"Lomb-dime-375","dimessi_guariti","Lombardia","2020-03-07","-675.283","-898.487","-632.219","-877.491","-685.144","-980.419","0.982",0.147
"Lomb-tera-193","terapia_intensiva","Lombardia","2020-03-07","-675.283","-898.487","-737.646","-887.686","-768.118","-927.257","0.064",0.721
"Piem-isol-28","isolamento_domiciliare","Piemonte","2020-03-07","-1499.368","-690.628","-1519.532","-700.426","-1531.022","-744.036","0.626",0.737
"Emil-rico-434","ricoverati_con_sintomi","Emilia Romagna","2020-03-07","-224.550","-430.431","-202.346","-379.141","-187.655","-402.565","0.362",0.9
"Lomb-isol-222","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-725.978","-944.115","-622.894","-935.150","0.722",0.112
"Emil-isol-156","isolamento_domiciliare","Emilia Romagna","2020-03-07","-224.550","-430.431","-174.510","-416.323","-192.502","-431.816","0.690",0.727
"Emil-isol-355","isolamento_domiciliare","Emilia Romagna","2020-03-07","-224.550","-430.431","-230.961","-384.575","-239.673","-435.865","0.841",0.03
"Lomb-dime-183","dimessi_guariti","Lombardia","2020-03-07","-675.283","-898.487","-682.664","-965.177","-705.311","-983.891","0.906",0.638
"Piem-tera-36","terapia_intensiva","Piemonte","2020-03-07","-1499.368","-690.628","-1512.331","-672.204","-1501.050","-702.653","0.069",0.361
"Lomb-rico-510","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-740.288","-906.970","-725.731","-871.326","0.387",0.145
