"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Emil-isol-11","isolamento_domiciliare","Emilia Romagna","2020-03-04","-224.550","-430.431","-212.580","-419.203","-231.853","-443.118","0.891",0.768
"Lomb-dime-97","dimessi_guariti","Lombardia","2020-03-04","-675.283","-898.487","-680.543","-898.883","-664.725","-928.039","0.964",0.006
"Lomb-rico-571","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-679.349","-903.446","-743.475","-896.208","0.312",0.867
"Lomb-tera-89","terapia_intensiva","Lombardia","2020-03-04","-675.283","-898.487","-676.365","-899.108","-633.645","-854.737","0.037",0.01
"Lomb-isol-54","isolamento_domiciliare","Lombardia","2020-03-04","-675.283","-898.487","-683.858","-901.576","-706.807","-898.020","0.683",0.351
"Lomb-dece-16","deceduti","Lombardia","2020-03-04","-675.283","-898.487","-674.588","-902.748","-658.005","-891.644","0.019",0.431
"Lomb-rico-151","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-681.407","-894.608","-748.592","-835.240","0.147",0.398
"Vene-isol-225","isolamento_domiciliare","Veneto","2020-03-04","100.320","-940.026","110.106","-942.538","52.950","-955.080","0.832",0.046
"Emil-tera-12","terapia_intensiva","Emilia Romagna","2020-03-04","-224.550","-430.431","-208.425","-418.647","-213.381","-422.352","0.080",0.319
"Vene-isol-143","isolamento_domiciliare","Veneto","2020-03-04","100.320","-940.026","110.110","-937.978","87.548","-961.640","0.736",0.615
"Vene-isol-52","isolamento_domiciliare","Veneto","2020-03-04","100.320","-940.026","113.884","-944.838","93.672","-991.567","0.587",0.723
"Emil-tera-6","terapia_intensiva","Emilia Romagna","2020-03-04","-224.550","-430.431","-212.676","-414.836","-209.512","-408.003","0.105",0.332
"Emil-tera-18","terapia_intensiva","Emilia Romagna","2020-03-04","-224.550","-430.431","-216.666","-420.166","-217.001","-408.185","0.097",0.278
"Lomb-rico-153","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-671.084","-900.342","-682.552","-855.735","0.561",0.612
"Emil-rico-95","ricoverati_con_sintomi","Emilia Romagna","2020-03-04","-224.550","-430.431","-216.930","-415.797","-238.001","-380.366","0.393",0.417
"Lomb-tera-81","terapia_intensiva","Lombardia","2020-03-04","-675.283","-898.487","-679.813","-908.057","-661.002","-882.000","0.081",0.972
"Piem-rico-11","ricoverati_con_sintomi","Piemonte","2020-03-04","-1499.368","-690.628","-1510.139","-687.641","-1503.876","-670.205","0.429",0.869
"Emil-rico-127","ricoverati_con_sintomi","Emilia Romagna","2020-03-04","-224.550","-430.431","-220.998","-414.099","-256.229","-368.244","0.411",0.662
"Vene-rico-44","ricoverati_con_sintomi","Veneto","2020-03-04","100.320","-940.026","117.844","-946.836","85.293","-923.222","0.538",0.063
"Lomb-rico-801","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-678.149","-890.753","-688.461","-832.111","0.200",0.385
"Lomb-rico-738","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-683.417","-905.827","-705.947","-876.626","0.443",0.799
"Emil-isol-72","isolamento_domiciliare","Emilia Romagna","2020-03-04","-224.550","-430.431","-204.678","-416.561","-248.943","-479.156","0.882",0.787
"Lomb-rico-335","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-684.612","-897.376","-731.821","-896.273","0.379",0.652
"Lomb-tera-27","terapia_intensiva","Lombardia","2020-03-04","-675.283","-898.487","-676.751","-911.052","-673.170","-852.219","0.100",0.434
"Lomb-tera-45","terapia_intensiva","Lombardia","2020-03-04","-675.283","-898.487","-677.227","-895.085","-658.982","-878.310","0.036",0.183
"Emil-isol-40","isolamento_domiciliare","Emilia Romagna","2020-03-04","-224.550","-430.431","-225.186","-415.264","-273.383","-457.222","0.770",0.823
"Vene-isol-137","isolamento_domiciliare","Veneto","2020-03-04","100.320","-940.026","121.633","-944.056","78.814","-970.772","0.879",0.777
"Lomb-rico-169","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-682.141","-890.375","-735.638","-859.498","0.370",0.009
"Lomb-isol-258","isolamento_domiciliare","Lombardia","2020-03-04","-675.283","-898.487","-683.682","-910.131","-718.311","-938.916","0.687",0.78
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-04","1010.380","897.139","1015.370","901.900","1009.438","900.568","0.429",0.02
"Lomb-rico-561","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-687.978","-900.040","-715.122","-871.180","0.382",0.26
"Lomb-rico-25","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-675.616","-906.863","-695.777","-856.165","0.553",0.246
"Lomb-rico-212","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-674.913","-888.054","-724.933","-841.247","0.176",0.186
"Lomb-rico-331","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-687.066","-908.759","-729.398","-889.387","0.196",0.733
"Sard-rico-0","ricoverati_con_sintomi","Sardegna","2020-03-04","-929.903","2032.474","-931.932","2033.947","-931.932","2033.947","0.407",0.358
"Emil-rico-181","ricoverati_con_sintomi","Emilia Romagna","2020-03-04","-224.550","-430.431","-219.763","-410.135","-255.550","-419.058","0.330",0.635
"Vene-isol-136","isolamento_domiciliare","Veneto","2020-03-04","100.320","-940.026","114.125","-949.279","41.792","-952.007","0.596",0.927
"Emil-isol-174","isolamento_domiciliare","Emilia Romagna","2020-03-04","-224.550","-430.431","-208.339","-414.206","-249.327","-450.027","0.737",0.057
"Marc-rico-21","ricoverati_con_sintomi","Marche","2020-03-04","636.090","315.866","635.974","318.131","630.363","329.574","0.438",0.891
"Lomb-rico-495","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-671.296","-905.731","-760.319","-841.223","0.494",0.713
"Lomb-isol-29","isolamento_domiciliare","Lombardia","2020-03-04","-675.283","-898.487","-678.697","-886.203","-686.019","-945.245","0.620",0.385
"Marc-rico-0","ricoverati_con_sintomi","Marche","2020-03-04","636.090","315.866","624.262","324.460","624.262","324.460","0.286",0.932
"Lomb-isol-112","isolamento_domiciliare","Lombardia","2020-03-04","-675.283","-898.487","-666.672","-900.550","-733.704","-942.464","0.904",0.136
"Lomb-rico-281","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-688.904","-895.964","-752.471","-847.824","0.391",0.224
"Vene-isol-170","isolamento_domiciliare","Veneto","2020-03-04","100.320","-940.026","118.484","-951.192","79.740","-995.157","0.885",0.216
"Emil-isol-232","isolamento_domiciliare","Emilia Romagna","2020-03-04","-224.550","-430.431","-211.114","-410.710","-282.046","-470.860","0.902",0.291
"Lomb-isol-109","isolamento_domiciliare","Lombardia","2020-03-04","-675.283","-898.487","-687.421","-904.274","-692.426","-913.210","0.872",0.169
"Emil-isol-52","isolamento_domiciliare","Emilia Romagna","2020-03-04","-224.550","-430.431","-208.359","-422.957","-268.239","-451.373","0.801",0.756
"Lomb-rico-0","ricoverati_con_sintomi","Lombardia","2020-03-04","-675.283","-898.487","-735.358","-854.840","-735.358","-854.840","0.447",0.303
"Emil-rico-232","ricoverati_con_sintomi","Emilia Romagna","2020-03-04","-224.550","-430.431","-213.795","-423.419","-231.498","-414.187","0.522",0.105
"Lomb-tera-123","terapia_intensiva","Lombardia","2020-03-04","-675.283","-898.487","-672.985","-896.394","-650.389","-883.670","0.119",0.652
