"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Emil-isol-15","isolamento_domiciliare","Emilia Romagna","2020-02-28","-224.550","-430.431","-215.034","-429.126","-233.611","-451.589","0.700",0.976
"Emil-rico-3","ricoverati_con_sintomi","Emilia Romagna","2020-02-28","-224.550","-430.431","-219.675","-421.291","-223.902","-408.118","0.211",0.431
"Emil-rico-52","ricoverati_con_sintomi","Emilia Romagna","2020-02-28","-224.550","-430.431","-218.723","-426.651","-248.594","-408.761","0.253",0.952
"Lomb-rico-40","ricoverati_con_sintomi","Lombardia","2020-02-28","-675.283","-898.487","-676.250","-896.478","-702.535","-850.280","0.441",0.592
"Lomb-dime-27","dimessi_guariti","Lombardia","2020-02-28","-675.283","-898.487","-680.187","-898.087","-666.555","-924.442","0.991",0.898
"Vene-isol-102","isolamento_domiciliare","Veneto","2020-02-28","100.320","-940.026","106.418","-943.663","92.594","-959.457","0.873",0.086
"Lomb-rico-52","ricoverati_con_sintomi","Lombardia","2020-02-28","-675.283","-898.487","-679.638","-893.712","-691.486","-893.626","0.246",0.511
"Lomb-isol-135","isolamento_domiciliare","Lombardia","2020-02-28","-675.283","-898.487","-680.767","-902.504","-702.324","-909.195","0.848",0.588
"Emil-isol-34","isolamento_domiciliare","Emilia Romagna","2020-02-28","-224.550","-430.431","-215.737","-423.400","-248.276","-455.711","0.856",0.462
"Emil-rico-13","ricoverati_con_sintomi","Emilia Romagna","2020-02-28","-224.550","-430.431","-227.742","-421.628","-229.083","-420.260","0.422",0.12
"Lomb-tera-31","terapia_intensiva","Lombardia","2020-02-28","-675.283","-898.487","-676.801","-900.839","-654.943","-885.079","0.051",0.864
"Lomb-dime-28","dimessi_guariti","Lombardia","2020-02-28","-675.283","-898.487","-675.578","-891.977","-669.544","-909.708","0.974",0.21
"Lomb-isol-142","isolamento_domiciliare","Lombardia","2020-02-28","-675.283","-898.487","-684.225","-899.802","-710.422","-921.308","0.874",0.737
